scenario_id,K,B,lambda,rho,mu_vm,mu_container,stage_capacity_ratio,holding_vm,holding_container,blocking_cost,states,full_state_optimal_gain,jsq_uniform_tie_gain,jsq_uniform_tie_relative_gap,jsq_lowest_index_gain,jsq_lowest_index_relative_gap,rz_candidate_gain,rz_candidate_relative_gap,candidate_observation_gap_upper,candidate_observation_share_upper,uniform_rule_gap_lower,uniform_rule_share_lower,candidate_decomposition_error,rz_globally_certified,rz_global_bound_relative_gap,rz_strictly_randomized_observations,rz_decision_observations,rz_start_count,rz_successful_start_count,rz_best_gain_start_count,rz_distinct_final_gain_count,rz_final_gain_range,rz_best_start_name,rz_projected_gradient_residual,rz_gain_evaluation_error,rz_fast_generator_residual,rz_poisson_residual,rz_independent_generator_residual,rz_independent_poisson_gain_error,rz_independent_cost_decomposition_error,rz_reflection_gain_error,rz_all_runs_no_worse_than_starts,rz_polishing_run_count,dz_solved,dz_gain,dz_relative_gap,rz_improvement_over_dz,rvi_span_residual,bellman_residual,check_checked_uniformized_rows,check_minimum_transition_probability,check_maximum_row_sum_error,check_rvi_stationary_gain_error,check_stationary_generator_residual,check_stationary_poisson_gain_error,check_arrival_promotion_flow_error,check_promotion_departure_flow_error,check_cost_decomposition_error
K2_B2_lambda0p25_rho0p25_muvm0p5_muc1_hvm1_hc1_cb10,2,2,0.25,0.25,0.5,1.0,0.25,1.0,1.0,10.0,81,0.8038398026528691,0.8157297983753172,0.014791499106175355,0.8139806598640112,0.012615520129352619,0.8139806593536826,0.012615519494488973,0.010140856700813439,0.8528898527413001,0.0017491390216346492,0.1471101472586998,0.0,False,0.010140856700813439,0,16,22,22,21,6,0.0017491390216352043,always_vm2_when_both_feasible,0.0,3.3306690738754696e-16,1.3877787807814457e-17,1.7985612998927536e-14,6.938893903907228e-17,3.7636560534792807e-14,0.0,2.220446049250313e-16,True,0,False,,,,9.244160992238903e-12,8.487627267683706e-12,117,0.0,2.220446049250313e-16,2.1641577419018176e-12,7.632783294297951e-17,3.652633751016765e-14,0.0,1.6653345369377348e-16,1.1102230246251565e-16
K2_B2_lambda0p5_rho0p5_muvm0p5_muc1_hvm1_hc1_cb10,2,2,0.5,0.5,0.5,1.0,0.25,1.0,1.0,10.0,81,1.9214376584646153,1.9636883750851126,0.02198911655258128,1.9602368477247747,0.020192791105782246,1.9602368421510474,0.02019278820497137,0.03879918368643209,0.918308298411423,0.0034515329340651935,0.08169170158857697,0.0,False,0.02019278820497137,0,16,22,22,18,6,0.0034515329340689682,always_vm1_when_both_feasible,0.0,1.5543122344752192e-15,8.108476997475966e-17,4.6629367034256575e-14,7.632783294297951e-17,2.9531932455029164e-14,0.0,2.220446049250313e-15,True,0,False,,,,9.798384326131782e-12,9.11998254693458e-12,117,0.0,1.1102230246251565e-16,8.874012635828876e-12,1.3877787807814457e-16,2.6201263381153694e-14,5.551115123125783e-17,1.6653345369377348e-16,0.0
K2_B2_lambda0p75_rho0p75_muvm0p5_muc1_hvm1_hc1_cb10,2,2,0.75,0.75,0.5,1.0,0.25,1.0,1.0,10.0,81,3.5395085840806866,3.6022522630706706,0.01772666388554059,3.599234576410009,0.016874091674179425,3.5992339769712784,0.016873922317694925,0.059725392890591866,0.9518949773430729,0.0030182860993921423,0.048105022656927114,0.0,False,0.016873922317694925,1,16,22,22,20,2,0.0030182860993872573,lowest_index_jsq,1.6430234950348677e-10,0.0,1.7898822615020071e-16,3.064215547965432e-14,9.020562075079397e-17,2.6645352591003757e-14,4.440892098500626e-16,4.440892098500626e-15,True,0,False,,,,9.755751761986176e-12,9.06086317087329e-12,117,0.0,0.0,1.716760067438372e-11,1.5092094240998222e-16,3.907985046680551e-14,2.220446049250313e-16,1.1102230246251565e-16,8.881784197001252e-16
K2_B2_lambda1_rho1_muvm0p5_muc1_hvm1_hc1_cb10,2,2,1.0,1.0,0.5,1.0,0.25,1.0,1.0,10.0,81,5.582598171711195,5.646349635252987,0.011419676211847111,5.644571841601891,0.011101223477759192,5.644536513579699,0.011094895237555356,0.06193834186850378,0.9715595286357753,0.001813121673287732,0.02844047136422463,0.0,False,0.011094895237555356,1,16,22,22,20,2,0.0018131216732912847,always_vm1_when_both_feasible,1.956212969389526e-12,0.0,5.793976409762536e-16,5.684341886080802e-14,1.1281123604711674e-16,3.6415315207705135e-14,0.0,9.769962616701378e-15,True,0,False,,,,9.471534667682135e-12,8.72324434908478e-12,117,0.0,1.1102230246251565e-16,2.3996804543457984e-11,3.5388358909926865e-16,4.085620730620576e-14,1.1102230246251565e-16,0.0,0.0
K2_B2_lambda1p5_rho1p5_muvm0p5_muc1_hvm1_hc1_cb10,2,2,1.5,1.5,0.5,1.0,0.25,1.0,1.0,10.0,81,10.30234773257702,10.34433298837,0.004075309520005681,10.34411321812979,0.004053977465806447,10.343972116582526,0.004040281408274052,0.04162438400550528,0.9914047972160949,0.0003608717874747924,0.008595202783905158,0.0,False,0.004040281408274052,1,16,22,22,20,2,0.0003608717874765688,lowest_index_jsq_reflected,9.992007221626409e-16,1.7763568394002505e-15,2.905661822261152e-16,4.796163466380676e-14,4.0679265511656126e-16,6.927791673660977e-14,0.0,1.0658141036401503e-14,True,0,False,,,,9.812595180846984e-12,8.82649509037492e-12,117,0.0,0.0,3.515765456540976e-11,1.0755285551056204e-16,7.105427357601002e-14,1.1102230246251565e-16,1.1102230246251565e-16,0.0
K2_B2_lambda0p5_rho0p25_muvm1_muc1_hvm1_hc1_cb10,2,2,0.5,0.25,1.0,1.0,0.5,1.0,1.0,10.0,81,1.0717969191188723,1.0915797791100181,0.018457657078739666,1.0882358792775573,0.01533775649607155,1.0882358582062421,0.01533773683626962,0.01643893908736982,0.8309687828113512,0.0033439209037759987,0.16903121718864875,0.0,False,0.01533773683626962,0,16,22,22,18,3,0.003343920903776665,always_vm1_when_both_feasible,0.0,6.661338147750939e-16,5.919743861770854e-17,1.84297022087776e-14,6.245004513516506e-17,2.7533531010703882e-14,0.0,8.881784197001252e-16,True,0,False,,,,9.197975714414497e-12,7.891270970006303e-12,117,0.0,2.220446049250313e-16,1.6058265828178264e-12,2.983724378680108e-16,2.6423307986078726e-14,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16
K2_B2_lambda1_rho0p5_muvm1_muc1_hvm1_hc1_cb10,2,2,1.0,0.5,1.0,1.0,0.5,1.0,1.0,10.0,81,2.760917310333057,2.8279629675774496,0.02428383385241791,2.8227063563701034,0.022379897364471407,2.8227052576055915,0.02237949939365652,0.06178794727253445,0.9215801561510119,0.005257709971858038,0.07841984384898812,0.0,False,0.02237949939365652,0,16,22,22,20,2,0.005257709971865143,lowest_index_jsq,0.0,2.220446049250313e-15,3.642919299551295e-16,3.375077994860476e-14,1.6653345369377348e-16,4.1744385725905886e-14,0.0,4.440892098500626e-16,True,0,False,,,,9.070078021977679e-12,8.121170402830558e-12,117,0.0,1.1102230246251565e-16,8.217426739065559e-12,4.2327252813834093e-16,3.9968028886505635e-14,3.3306690738754696e-16,1.1102230246251565e-16,0.0
K2_B2_lambda1p5_rho0p75_muvm1_muc1_hvm1_hc1_cb10,2,2,1.5,0.75,1.0,1.0,0.5,1.0,1.0,10.0,81,5.71253346699082,5.801431098680852,0.01556185748472481,5.79827684568322,0.015009693892886177,5.798158507643695,0.014988978383697709,0.08562504065287513,0.9631869716330825,0.0032725910371569356,0.036813028366917515,0.0,False,0.014988978383697709,1,16,22,22,20,2,0.0032725910371667055,random_03,2.4424906541753444e-15,3.552713678800501e-15,1.249000902703301e-16,3.730349362740526e-14,1.942890293094024e-16,7.460698725481052e-14,0.0,6.217248937900877e-15,True,0,False,,,,9.897860309138196e-12,8.911760218666132e-12,117,0.0,0.0,2.022115808131275e-11,1.8041124150158794e-16,5.773159728050814e-14,4.440892098500626e-16,0.0,8.881784197001252e-16
K2_B2_lambda2_rho1_muvm1_muc1_hvm1_hc1_cb10,2,2,2.0,1.0,1.0,1.0,0.5,1.0,1.0,10.0,81,9.763070767676163,9.838222290517253,0.007697529253798219,9.83741734767864,0.007615081542645902,9.837032419875667,0.007575654623377117,0.0739616521995039,0.98416704550217,0.0011898706415855997,0.01583295449782997,0.0,False,0.007575654623377117,1,16,22,22,20,2,0.0011898706415944815,random_01,1.8872503559919096e-10,8.881784197001252e-15,4.2240516640035253e-16,5.5067062021407764e-14,6.938893903907228e-17,5.861977570020827e-14,1.7763568394002505e-15,8.881784197001252e-15,True,0,False,,,,9.14468500923249e-12,8.160361275599826e-12,117,0.0,0.0,2.8387958650455403e-11,2.0643209364124004e-16,4.085620730620576e-14,4.440892098500626e-16,4.440892098500626e-16,0.0
K2_B2_lambda3_rho1p5_muvm1_muc1_hvm1_hc1_cb10,2,2,3.0,1.5,1.0,1.0,0.5,1.0,1.0,10.0,81,19.26559718783902,19.30014484161149,0.0017932303595695517,19.300647208153382,0.0018193061950078724,19.30008591066555,0.0017901714901576444,0.034488722826530704,0.9982942127900168,5.8930945940005586e-05,0.0017057872099831188,0.0,False,0.0017901714901576444,2,16,22,22,20,2,5.893094595066373e-05,random_01,1.2513923230983437e-10,7.105427357601002e-15,1.491862189340054e-16,5.684341886080802e-14,1.249000902703301e-16,7.460698725481052e-14,3.552713678800501e-15,3.552713678800501e-15,True,0,False,,,,9.599432360118954e-12,8.280487406864268e-12,117,0.0,0.0,4.221689664518635e-11,9.020562075079397e-17,9.947598300641403e-14,0.0,4.440892098500626e-16,3.552713678800501e-15
