scenario_id,K,B,lambda,rho,mu_vm,mu_container,stage_capacity_ratio,holding_vm,holding_container,blocking_cost,states,full_state_optimal_gain,weighted_ff_gain,weighted_ff_relative_gap,weighted_ff_numerically_optimal,uniform_jsq_gain,uniform_jsq_relative_gap,lexicographic_ff_gain,lexicographic_ff_relative_gap,weighted_ff_improvement_over_uniform_jsq,weighted_ff_improvement_over_lexicographic_ff,uniform_jsq_endpoint_error,lexicographic_ff_endpoint_error,rvi_iterations,rvi_span_residual,bellman_residual,globally_certified_within_class,class_definition,minimum_feeder_weight,minimum_feeder_weight_fraction,best_feeder_weight,best_feeder_weight_fraction,best_candidate_kind,best_gain,critical_weight_count,candidate_weight_count,distinct_policy_count,critical_weights,lexicographic_weight,lexicographic_weight_fraction,lexicographic_gain,jsq_gain,improvement_over_lexicographic,improvement_over_jsq,best_tie_state_count,best_generator_residual,best_poisson_gain_error,best_cost_decomposition_error,check_checked_uniformized_rows,check_minimum_transition_probability,check_maximum_row_sum_error,check_rvi_stationary_gain_error,check_stationary_generator_residual,check_stationary_poisson_gain_error,check_arrival_promotion_flow_error,check_promotion_departure_flow_error,check_cost_decomposition_error
K4_B4_lambda6_rho0p75_muvm8_muc1_hvm0p5_hc1_cb1,4,4,6.0,0.75,8.0,1.0,2.0,0.5,1.0,1.0,625,7.223788820463842,7.230373162718703,0.0009114804458580863,False,7.25210461663536,0.003919798443069653,7.2342825391217325,0.0014526613275520745,0.021731453916657095,0.003909376403029796,0.0,0.0,1412,9.872991313386592e-12,9.702239012199243e-12,True,uniform_argmin_r_q_plus_n_for_r_ge_minimum,1.0,1,2.5,5/2,open_interval_representative,7.230373162718703,6,12,12,"['1', '4/3', '3/2', '2', '3', '4']",5.0,5,7.2342825391217325,7.25210461663536,0.003909376403029796,0.021731453916657095,20,1.8041124150158794e-16,7.194245199571014e-13,8.881784197001252e-16,1025,0.0,2.220446049250313e-16,1.1447642833672944e-10,3.3306690738754696e-16,4.805045250577678e-13,8.881784197001252e-16,1.7763568394002505e-15,0.0
K4_B4_lambda8_rho1_muvm8_muc1_hvm0p5_hc1_cb1,4,4,8.0,1.0,8.0,1.0,2.0,0.5,1.0,1.0,625,10.457852316137787,10.459646160552843,0.0001715308612924403,False,10.468084478208572,0.0009784190636346968,10.462813137480532,0.0004743633006836665,0.008438317655729222,0.0031669769276891913,0.0,0.0,1184,9.801937039810582e-12,9.603096096100217e-12,True,uniform_argmin_r_q_plus_n_for_r_ge_minimum,1.0,1,1.75,7/4,open_interval_representative,10.459646160552843,6,12,12,"['1', '4/3', '3/2', '2', '3', '4']",5.0,5,10.462813137480532,10.468084478208572,0.0031669769276891913,0.008438317655729222,20,2.498001805406602e-16,5.364597654988756e-13,1.7763568394002505e-15,1025,0.0,2.220446049250313e-16,2.2938095867175434e-10,2.220446049250313e-16,2.646771690706373e-13,8.881784197001252e-16,1.7763568394002505e-15,1.7763568394002505e-15
K4_B4_lambda1_rho0p5_muvm1_muc1_hvm0p5_hc1_cb10,4,4,1.0,0.5,1.0,1.0,0.25,0.5,1.0,10.0,625,1.7274733672140221,1.72747336721402,0.0,True,1.7816652197858027,0.03137058643004052,1.72747336721402,0.0,0.05419185257178283,0.0,0.0,0.0,697,9.9333874459262e-12,9.577699744411916e-12,True,uniform_argmin_r_q_plus_n_for_r_ge_minimum,1.0,1,5.0,5,lexicographic_feeder_first,1.72747336721402,6,12,12,"['1', '4/3', '3/2', '2', '3', '4']",5.0,5,1.72747336721402,1.7816652197858027,0.0,0.05419185257178283,20,4.933221528762716e-16,1.3038459201197838e-12,4.440892098500626e-16,1025,0.0,2.220446049250313e-16,5.4432014451322175e-12,5.082739784612045e-16,1.887379141862766e-13,7.771561172376096e-16,5.551115123125783e-16,2.220446049250313e-16
K4_B4_lambda1p5_rho0p75_muvm1_muc1_hvm0p5_hc1_cb10,4,4,1.5,0.75,1.0,1.0,0.25,0.5,1.0,10.0,625,3.379269501958901,3.3792695019589116,0.0,True,3.505684636503993,0.03740901235364968,3.3792695019589116,0.0,0.12641513454508146,0.0,0.0,0.0,948,9.99733629214461e-12,9.713285731294263e-12,True,uniform_argmin_r_q_plus_n_for_r_ge_minimum,1.0,1,5.0,5,lexicographic_feeder_first,3.3792695019589116,6,12,12,"['1', '4/3', '3/2', '2', '3', '4']",5.0,5,3.3792695019589116,3.505684636503993,0.0,0.12641513454508146,20,5.568462357885551e-16,6.17284001691587e-13,4.440892098500626e-16,1025,0.0,2.220446049250313e-16,2.3951951533263127e-11,4.902762223979451e-16,3.5926817076870066e-13,1.3322676295501878e-15,0.0,0.0
K4_B4_lambda2_rho1_muvm1_muc1_hvm0p5_hc1_cb10,4,4,2.0,1.0,1.0,1.0,0.25,0.5,1.0,10.0,625,6.505591801297165,6.505591801297182,0.0,True,6.666891341985123,0.024793984254560093,6.505591801297182,0.0,0.16129954068794028,0.0,0.0,0.0,964,9.833911462919787e-12,9.585221505403752e-12,True,uniform_argmin_r_q_plus_n_for_r_ge_minimum,1.0,1,5.0,5,lexicographic_feeder_first,6.505591801297182,6,12,12,"['1', '4/3', '3/2', '2', '3', '4']",5.0,5,6.505591801297182,6.666891341985123,0.0,0.16129954068794028,20,2.1423834928313568e-16,3.836930773104541e-13,0.0,1025,0.0,2.220446049250313e-16,5.101163935705699e-11,2.26706674266719e-16,3.019806626980426e-13,1.3322676295501878e-15,1.3322676295501878e-15,0.0
K4_B4_lambda2_rho0p5_muvm2_muc1_hvm0p5_hc1_cb10,4,4,2.0,0.5,2.0,1.0,0.5,0.5,1.0,10.0,625,2.7701763305428684,2.770178201098278,6.752477772095651e-07,False,2.8558416843255636,0.030924151953138485,2.770178201098278,6.752477772095651e-07,0.08566348322728556,0.0,0.0,0.0,527,9.890754881780595e-12,9.407363776858801e-12,True,uniform_argmin_r_q_plus_n_for_r_ge_minimum,1.0,1,5.0,5,lexicographic_feeder_first,2.770178201098278,6,12,12,"['1', '4/3', '3/2', '2', '3', '4']",5.0,5,2.770178201098278,2.8558416843255636,0.0,0.08566348322728556,20,2.220446049250313e-16,2.595124115600811e-11,0.0,1025,0.0,1.1102230246251565e-16,6.235900684714579e-12,2.0816681711721685e-16,1.624567147473499e-11,0.0,0.0,0.0
K4_B4_lambda3_rho0p75_muvm2_muc1_hvm0p5_hc1_cb10,4,4,3.0,0.75,2.0,1.0,0.5,0.5,1.0,10.0,625,5.641566096528762,5.641624411944967,1.0336742529906584e-05,False,5.851657037665848,0.03723982623661079,5.641624411944967,1.0336742529906584e-05,0.21003262572088044,0.0,0.0,0.0,780,9.897860309138196e-12,9.578615678407232e-12,True,uniform_argmin_r_q_plus_n_for_r_ge_minimum,1.0,1,5.0,5,lexicographic_feeder_first,5.641624411944967,6,12,12,"['1', '4/3', '3/2', '2', '3', '4']",5.0,5,5.641624411944967,5.851657037665848,0.0,0.21003262572088044,20,5.672545766444159e-16,2.2648549702353193e-12,0.0,1025,0.0,2.220446049250313e-16,3.355715705311013e-11,3.9080067307240007e-16,1.6111556533360272e-12,8.881784197001252e-16,4.440892098500626e-16,8.881784197001252e-16
K4_B4_lambda4_rho1_muvm2_muc1_hvm0p5_hc1_cb10,4,4,4.0,1.0,2.0,1.0,0.5,0.5,1.0,10.0,625,12.009619787421268,12.009937959561697,2.6493106864334224e-05,False,12.227364512251736,0.018130859151638635,12.009937959561697,2.6493106864334224e-05,0.2174265526900392,0.0,0.0,0.0,787,9.9333874459262e-12,9.615863660883406e-12,True,uniform_argmin_r_q_plus_n_for_r_ge_minimum,1.0,1,5.0,5,lexicographic_feeder_first,12.009937959561697,6,12,12,"['1', '4/3', '3/2', '2', '3', '4']",5.0,5,12.009937959561697,12.227364512251736,0.0,0.2174265526900392,20,4.858445460179106e-16,5.950795411990839e-13,0.0,1025,0.0,2.220446049250313e-16,7.779377142469457e-11,3.008118927561032e-16,9.379164112033322e-13,8.881784197001252e-16,8.881784197001252e-16,0.0
K4_B4_lambda4_rho0p5_muvm4_muc1_hvm0p5_hc1_cb10,4,4,4.0,0.5,4.0,1.0,1.0,0.5,1.0,10.0,625,5.247871267470751,5.250929853808443,0.0005828241932400951,False,5.3532413907860565,0.020078641023160832,5.251830950971376,0.0007545313706853619,0.10231153697761375,0.0009010971629335174,0.0,0.0,830,9.897860309138196e-12,9.594713912264297e-12,True,uniform_argmin_r_q_plus_n_for_r_ge_minimum,1.0,1,3.5,7/2,open_interval_representative,5.250929853808443,6,12,12,"['1', '4/3', '3/2', '2', '3', '4']",5.0,5,5.251830950971376,5.3532413907860565,0.0009010971629335174,0.10231153697761375,20,3.000258461810512e-16,3.653966018646315e-12,1.7763568394002505e-15,1025,0.0,2.220446049250313e-16,3.001865422902483e-11,7.979727989493313e-17,1.2363443602225743e-12,0.0,4.440892098500626e-16,1.7763568394002505e-15
K4_B4_lambda6_rho0p75_muvm4_muc1_hvm0p5_hc1_cb10,4,4,6.0,0.75,4.0,1.0,1.0,0.5,1.0,10.0,625,15.391817926135351,15.397827234479601,0.0003904222602611783,False,15.535140379425835,0.009311600096771015,15.403274827093364,0.0007443500834660436,0.13731314494623348,0.005447592613762708,0.0,0.0,970,9.748646334628575e-12,9.463541061904834e-12,True,uniform_argmin_r_q_plus_n_for_r_ge_minimum,1.0,1,2.5,5/2,open_interval_representative,15.397827234479601,6,12,12,"['1', '4/3', '3/2', '2', '3', '4']",5.0,5,15.403274827093364,15.535140379425835,0.005447592613762708,0.13731314494623348,20,3.7757510063397143e-16,4.796163466380676e-13,1.7763568394002505e-15,1025,0.0,2.220446049250313e-16,1.2154011130860454e-10,3.2158452875456767e-16,5.329070518200751e-13,8.881784197001252e-16,8.881784197001252e-16,0.0
K4_B4_lambda8_rho1_muvm4_muc1_hvm0p5_hc1_cb10,4,4,8.0,1.0,4.0,1.0,1.0,0.5,1.0,10.0,625,33.880644376616516,33.88248115418349,5.421318280001017e-05,False,33.926789012712995,0.0013619763421124987,33.885564723285626,0.0001452258881034023,0.044307858529506916,0.0030835691021380285,0.0,0.0,652,9.72022462519817e-12,9.32165455935774e-12,True,uniform_argmin_r_q_plus_n_for_r_ge_minimum,1.0,1,2.5,5/2,open_interval_representative,33.88248115418349,6,12,12,"['1', '4/3', '3/2', '2', '3', '4']",5.0,5,33.885564723285626,33.926789012712995,0.0030835691021380285,0.044307858529506916,20,2.0743985109023585e-16,8.739675649849232e-13,7.105427357601002e-15,1025,0.0,2.220446049250313e-16,1.8129497902918956e-10,3.0531133177191805e-16,9.734435479913373e-13,1.7763568394002505e-15,0.0,0.0
K4_B4_lambda4_rho0p5_muvm8_muc1_hvm0p5_hc1_cb10,4,4,4.0,0.5,8.0,1.0,2.0,0.5,1.0,10.0,625,4.387414497626997,4.390985667459332,0.000813957704307714,False,4.413923283686942,0.006042006305600391,4.392376483016548,0.0011309588807337052,0.022937616227610036,0.0013908155572162073,0.0,0.0,926,9.919176591210999e-12,9.649447907378317e-12,True,uniform_argmin_r_q_plus_n_for_r_ge_minimum,1.0,1,2.5,5/2,open_interval_representative,4.390985667459332,6,12,12,"['1', '4/3', '3/2', '2', '3', '4']",5.0,5,4.392376483016548,4.413923283686942,0.0013908155572162073,0.022937616227610036,20,2.0685222198307818e-16,3.4727776210274897e-13,8.881784197001252e-16,1025,0.0,1.1102230246251565e-16,2.4950708166215918e-11,1.249000902703301e-16,3.0819791163594346e-13,4.440892098500626e-16,8.881784197001252e-16,0.0
K4_B4_lambda6_rho0p75_muvm8_muc1_hvm0p5_hc1_cb10,4,4,6.0,0.75,8.0,1.0,2.0,0.5,1.0,10.0,625,9.198194863557362,9.211090014708729,0.0014019219360591104,False,9.257145285580892,0.006408912063505834,9.223239931547747,0.002722824245614996,0.04605527087216288,0.012149916839018005,0.0,0.0,1465,9.919176591210999e-12,9.760581232143295e-12,True,uniform_argmin_r_q_plus_n_for_r_ge_minimum,1.0,1,1.75,7/4,open_interval_representative,9.211090014708729,6,12,12,"['1', '4/3', '3/2', '2', '3', '4']",5.0,5,9.223239931547747,9.257145285580892,0.012149916839018005,0.04605527087216288,20,2.3605452987261744e-16,6.767919558114954e-13,3.552713678800501e-15,1025,0.0,2.220446049250313e-16,1.1509548869526043e-10,3.3306690738754696e-16,6.235012506294879e-13,8.881784197001252e-16,1.7763568394002505e-15,0.0
K4_B4_lambda8_rho1_muvm8_muc1_hvm0p5_hc1_cb10,4,4,8.0,1.0,8.0,1.0,2.0,0.5,1.0,10.0,625,23.076391459955055,23.083675565724572,0.0003156518549339978,False,23.12285732172246,0.0020135670625989594,23.101424468538777,0.0010847886952846596,0.039181755997887535,0.017748902814204826,0.0,0.0,1260,9.79127889877418e-12,9.60720392129133e-12,True,uniform_argmin_r_q_plus_n_for_r_ge_minimum,1.0,1,1.75,7/4,open_interval_representative,23.083675565724572,6,12,12,"['1', '4/3', '3/2', '2', '3', '4']",5.0,5,23.101424468538777,23.12285732172246,0.017748902814204826,0.039181755997887535,20,2.498001805406602e-16,8.206768598029157e-13,3.552713678800501e-15,1025,0.0,2.220446049250313e-16,2.2934543153496634e-10,3.3306690738754696e-16,1.0054179711005418e-12,1.7763568394002505e-15,8.881784197001252e-16,0.0
K4_B4_lambda1_rho0p5_muvm1_muc1_hvm0p5_hc1_cb50,4,4,1.0,0.5,1.0,1.0,0.25,0.5,1.0,50.0,625,1.8453821206215677,1.8453821206215621,0.0,True,1.9158731989715754,0.03819863515653042,1.8453821206215621,0.0,0.07049107835001323,0.0,0.0,0.0,709,9.691802915767767e-12,9.312578486131429e-12,True,uniform_argmin_r_q_plus_n_for_r_ge_minimum,1.0,1,5.0,5,lexicographic_feeder_first,1.8453821206215621,6,12,12,"['1', '4/3', '3/2', '2', '3', '4']",5.0,5,1.8453821206215621,1.9158731989715754,0.0,0.07049107835001323,20,4.933221528762716e-16,1.8478552021861105e-12,2.220446049250313e-16,1025,0.0,2.220446049250313e-16,5.303757433239298e-12,5.082739784612045e-16,1.9961809982760315e-13,7.771561172376096e-16,5.551115123125783e-16,2.220446049250313e-16
K4_B4_lambda1p5_rho0p75_muvm1_muc1_hvm0p5_hc1_cb50,4,4,1.5,0.75,1.0,1.0,0.25,0.5,1.0,50.0,625,5.469658005723948,5.469658005723979,0.0,True,5.783830662225914,0.05743917739887702,5.469658005723979,0.0,0.3141726565019347,0.0,0.0,0.0,986,9.805489753489383e-12,9.562683978003861e-12,True,uniform_argmin_r_q_plus_n_for_r_ge_minimum,1.0,1,5.0,5,lexicographic_feeder_first,5.469658005723979,6,12,12,"['1', '4/3', '3/2', '2', '3', '4']",5.0,5,5.469658005723979,5.783830662225914,0.0,0.3141726565019347,20,5.568462357885551e-16,7.194245199571014e-13,8.881784197001252e-16,1025,0.0,2.220446049250313e-16,2.3520740910498716e-11,4.902762223979451e-16,5.986322548778844e-13,1.3322676295501878e-15,0.0,0.0
